,index,y
0,1620,5
1,1954,2
2,8050,7
3,3036,9
4,7397,4
5,734,9
6,1471,8
7,8907,1
8,1513,6
9,5869,7
10,7441,8
11,7676,2
12,5074,0
13,1995,2
14,4811,2
15,2017,5
16,1468,3
17,1647,7
18,7712,5
19,9393,4
20,9063,7
21,3923,3
22,8330,5
23,8513,9
24,898,3
25,4550,9
26,1344,9
27,2333,6
28,1635,7
29,566,9
30,2479,5
31,7252,8
32,9913,7
33,8745,5
34,4423,6
35,6508,0
36,8185,0
37,708,8
38,7406,7
39,3116,7
40,7348,2
41,3872,7
42,9893,2
43,4936,3
44,1643,9
45,4237,1
46,5439,1
47,7315,0
48,6029,0
49,7941,5
50,7332,7
51,484,5
52,2026,5
53,1963,2
54,8625,5
55,2637,6
56,1398,7
57,5936,6
58,3814,1
59,3697,4
60,174,9
61,8770,6
62,7171,2
63,1224,7
64,2597,2
65,3419,4
66,4206,1
67,6385,5
68,322,2
69,9292,3
70,6293,3
71,5400,9
72,288,7
73,8252,2
74,7818,9
75,9315,7
76,2303,2
77,7181,6
78,6284,0
79,3051,8
80,8291,6
81,7976,7
82,9071,7
83,791,0
84,9487,1
85,1853,9
86,274,8
87,9110,1
88,8194,1
89,722,8
90,3047,6
91,9582,5
92,7837,7
93,7796,8
94,796,1
95,805,4
96,4188,6
97,3052,3
98,2612,3
99,8133,8
100,6894,6
101,4548,0
102,8218,9
103,7000,2
104,1441,4
105,5496,4
106,9208,0
107,2639,6
108,4283,6
109,2749,0
110,6189,2
111,3764,1
112,6142,5
113,3313,2
114,7802,2
115,6679,2
116,4066,6
117,3407,1
118,9233,8
119,6822,4
120,4114,4
121,1969,1
122,48,7
123,5984,5
124,694,8
125,831,3
126,5534,6
127,2797,6
128,2426,2
129,61,3
130,6641,0
131,3196,7
132,7065,2
133,5351,7
134,2144,3
135,242,8
136,9704,2
137,6101,9
138,9291,8
139,687,6
140,7960,0
141,4252,9
142,2267,6
143,8931,9
144,5372,5
145,7263,5
146,8714,4
147,1330,2
148,2377,6
149,128,5
150,2814,1
151,5533,2
152,4171,0
153,9898,9
154,5281,3
155,9489,6
156,9716,7
157,443,9
158,4954,1
159,9749,0
160,6954,7
161,246,1
162,8305,4
163,3009,7
164,8601,3
165,5837,2
166,6720,2
167,8588,6
168,5791,8
169,3465,6
170,2969,5
171,1865,7
172,833,2
173,5663,8
174,433,7
175,1324,4
176,1841,9
177,5653,5
178,9906,1
179,1058,6
180,6100,1
181,1158,1
182,4725,9
183,2602,6
184,9945,7
185,2167,7
186,1113,8
187,290,1
188,4144,1
189,3326,4
190,7419,0
191,4621,8
192,4893,1
193,6597,1
194,4861,0
195,2849,6
196,3509,3
197,5641,4
198,7117,6
199,3484,4
200,224,3
201,2400,0
202,7879,3
203,6947,8
204,7042,8
205,9541,4
206,1690,2
207,8177,8
208,139,9
209,865,1
210,2557,2
211,6362,4
212,2505,7
213,4694,7
214,9875,9
215,2201,5
216,989,0
217,2911,1
218,3483,0
219,6712,0
220,9944,7
221,2447,6
222,5747,8
223,6765,8
224,124,8
225,7269,7
226,361,5
227,3650,0
